title,link,pmcid,pmid,doi
The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515520/,PMC5515520,28725721,10.1038/npjmgrav.2015.23
Skewing in Arabidopsis roots involves disparate environmental signaling pathways.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5286820/,PMC5286820,28143395,10.1186/s12870-017-0975-9
"Data for characterization of SALK_084889, a T-DNA insertion line of Arabidopsis thaliana",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5470433/,PMC5470433,28649584,10.1016/j.dib.2017.05.047
Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491145/,PMC5491145,28662188,10.1371/journal.pone.0180186
Phenotypic characterization of an Arabidopsis T- DNA insertion line SALK_063500,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996828/,PMC5996828,29900258,10.1016/j.dib.2018.03.107
Utilization of single‐image normalized difference vegetation index (SI‐NDVI) for early plant stress detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6201722/,PMC6201722,30386712,10.1002/aps3.1186
Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240453/,PMC6240453,30473943,10.1002/aps3.1197
Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6447593/,PMC6447593,30963109,10.1038/s41526-019-0070-7
The Plant Health Monitoring System of the EDEN ISS Space Greenhouse in Antarctica during the 2018 experiment phase,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264257/,PMC7264257,32528506,10.3389/fpls.2020.00656
Root skewing-associated genes impact the spaceflight response of Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7064724/,PMC7064724,32194611,10.3389/fpls.2020.00239
Articular cartilage and sternal fibrocartilage respond differently to extended microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6379395/,PMC6379395,30793021,10.1038/s41526-019-0063-6
Host-microbe interactions in microgravity: assessment and implications.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187166/,PMC4187166,25370197,10.3390/life4020250
Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5219934/,PMC5219934,27062511,10.1111/cmi.12602
Symbiotic organs shaped by distinct modes of genome evolution in cephalopods.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6386654/,PMC6386654,30635418,10.1073/pnas.1817322116
Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7940393/,PMC7940393,33686090,10.1038/s41526-021-00138-8
Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9023564/,PMC9023564,35449136,10.1038/s41467-022-29694-7
Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9389742/,PMC9389742,35982413,10.1186/s12866-022-02614-x
In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(epsilon-caprolactone) scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2824534/,PMC2824534,20034665,10.1016/j.biomaterials.2009.11.092
Chondrogenesis and mineralization during in vitro culture of human mesenchymal stem cells on three-dimensional woven scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2991213/,PMC2991213,20673022,10.1089/ten.tea.2010.0190
Microbiome metadata standards: Report of the National Microbiome Data Collaborative's workshop and follow-on activities.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269219/,PMC8269219,33947809,10.1128/mSystems.00273-21
Spaceflight alters host-gut microbiota interactions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11362537/,PMC11362537,39209868,10.1038/s41522-024-00545-1
Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9111996/,PMC9111996,35592661,10.1016/j.heliyon.2022.e09379
Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/,PMC10308117,37396358,10.3389/fmicb.2023.1166013
Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,PMC10233975,37264385,10.1186/s40168-023-01545-7
Biocontrol in built environments to reduce pathogen exposure and infection risk.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10848226/,PMC10848226,38365248,10.1093/ismejo/wrad024
Extracellular nucleotides elicit cytosolic free calcium oscillations in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3329368/,PMC3329368,22057319,10.4161/psb.6.11.17014
"Calcium, mechanical signaling, and tip growth",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,PMC12008199,40251159,10.1038/s41467-025-59047-z
Gravitropism and mechanical signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,PMC12008199,40251159,10.1038/s41467-025-59047-z
"Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4035928/,PMC4035928,24706854,10.1073/pnas.1319955111
Gravitropic signaling in plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,PMC12008199,40251159,10.1038/s41467-025-59047-z
Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181587/,PMC5181587,27816929,10.1093/jxb/erw418
A ROS-assisted calcium wave dependent on AtRBOHD and TPC1 propagates the systemic response to salt stress in Arabidopsis roots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4936552/,PMC4936552,27261066,10.1104/pp.16.00215
"ROS, calcium and electric signals: Key mediators of rapid systemic signaling in plants",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7610290/,PMC7610290,32938754,10.1105/tpc.20.00453
Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614317/,PMC5614317,28829425,10.3791/56142
"Orchestrating rapid long-distance signaling in plants with Ca2+ , ROS, and electrical signals",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677518/,PMC5677518,28112437,10.1111/tpj.13492
"Glutamate triggers long-distance, calcium-based plant defense signaling.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11850895/,PMC11850895,39994230,10.1038/s41467-025-57239-1
Test of Arabidopsis Space Transcriptome: A discovery environment to explore multiple plant biology spaceflight experiments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076552/,PMC7076552,32265943,10.3389/fpls.2020.00147
Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7414185/,PMC7414185,32690691,10.1073/pnas.2004183117
The fast and the furious: Rapid long-range signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8133610/,PMC8133610,33793939,10.1093/plphys/kiaa098
Rad-Bio-App: A discovery environment for biologists to explore spaceflight-related radiation exposures,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8113475/,PMC8113475,33976230,10.1038/s41526-021-00143-x
The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9706465/,PMC9706465,35972350,10.1093/plphys/kiac375
Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027818/,PMC10027818,36941263,10.1038/s41526-023-00247-6
"Low-dose, ionizing radiation and age-related changes in skeletal microarchitecture",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337602/,PMC3337602,22570786,10.1155/2012/481983
Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490751/,PMC4490751,25734366,10.1089/jir.2014.0152
Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132293/,PMC5132293,27907194,10.1371/journal.pone.0167391
Hindlimb Unloading: Rodent Analog for Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11747068/,PMC11747068,39833543,10.1007/s00018-024-05572-x
Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666834/,PMC5666834,29035346,10.3390/ijms18102153
Influence of social isolation during prolonged simulated weightlessness by hindlimb unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6753329/,PMC6753329,31572207,10.3389/fphys.2019.01147
Validation of a new Rodent experimental System to investigate consequences of Long Duration Space Habitation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012842/,PMC7012842,32047211,10.1038/s41598-020-58898-4
Skeletal tissue regulation by catalase over-expression in mitochondria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405755/,PMC4405755,25565653,10.1113/jphysiol.2014.286740
Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260663/,PMC8260663,34230490,10.1038/s41526-021-00152-w
An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4647464/,PMC4647464,26516084,10.1261/rna.053934.115
Novel Organelles with Elements of Bacterial and Eukaryotic Secretion Systems Weaponize Parasites of Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659752/,PMC5659752,28889977,10.1016/j.cub.2017.08.019
A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6372189/,PMC6372189,30753230,10.1371/journal.pone.0211897
Immune suppressive extracellular vesicle proteins of Leptopilina heterotoma are encoded in the wasp genome.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945029/,PMC6945029,31676506,10.1534/g3.119.400349
Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,PMC7000411,32047838,10.1038/s41526-019-0091-2
A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host's blood cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8191917/,PMC8191917,34048506,10.1371/journal.ppat.1009615
In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation–Polar–Cation Clip Motif in Knottin Proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9865768/,PMC9865768,36678491,10.3390/pathogens12010143
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,PMC10797188,38261932,10.1016/j.isci.2023.108759
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,PMC10797188,38261932,10.1016/j.isci.2023.108759
Simultaneous exposure of cultured human lymphoblastic cells to simulated microgravity and radiation increases chromosome aberrations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7555395/,PMC7555395,32927618,10.3390/life10090187
Genes required for survival in microgravity revealed by genome-wide yeast deletion collections cultured during spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4309212/,PMC4309212,25667933,10.1155/2015/976458
Physical Forces Modulate Oxidative Status and Stress Defense Meditated Metabolic Adaptation of Yeast Colonies: Spaceflight and Microgravity Simulations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6560652/,PMC6560652,31258252,10.1007/s12217-017-9588-z
Effects of space flight on mouse liver versus kidney: Gene pathway analyses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6321533/,PMC6321533,30567358,10.3390/ijms19124106
Yeast in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12040010/,PMC12040010,40295272,10.1097/MD.0000000000042125
Endocrine Effects of Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11833055/,PMC11833055,39962314,10.1038/s41598-025-90212-y
Role of shear stress on renal proximal tubular cells for nephrotoxicity assays,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9146534/,PMC9146534,35630155,10.3390/mi13050688
Bone hemodynamic responses to changes in external pressure.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11492218/,PMC11492218,39418011,10.1177/19160216241288811
Back pain in space and post-flight spine injury: Mechanisms and countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6339989/,PMC6339989,28962911,10.1016/j.spinee.2017.08.261
Fifteen days of microgravity causes growth in calvaria of mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4110898/,PMC4110898,23791778,10.1016/j.bone.2013.06.009
Altered disc compression in children with idiopathic low back pain: an upright magnetic resonance imaging backpack study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3947616/,PMC3947616,24253789,10.1097/BRS.0000000000000114
Spaceflight-induced bone loss alters failure mode and reduces bending strength in murine spinal segments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5477841/,PMC5477841,26285046,10.1002/jor.23029
Spaceflight-associated vascular remodeling and gene expression in mouse calvaria.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9139491/,PMC9139491,35634164,10.3389/fphys.2022.893025
"Exposure of Mycobacterium marinum to low-shear modeled microgravity: Effect on growth, the transcriptome and survival under stress.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515531/,PMC5515531,28725743,10.1038/npjmgrav.2016.38
Effects of mechanostimulation on gravitropism and signal persistence in flax roots.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258067/,PMC3258067,21847020,10.4161/psb.6.9.16601
Oxygen dependency of germinating Brassica seeds.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10025027/,PMC10025027,36950655,10.1016/j.heliyon.2023.e14403
"Desiccation mitigates heat stress in the resurrection fern, Pleopeltis polypodioides",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7733933/,PMC7733933,33329661,10.3389/fpls.2020.597731
Transcription profile of auxin related genes during positively gravitropic hypocotyl curvature of Brassica rapa.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9105288/,PMC9105288,35567192,10.3390/plants11091191
High-gradient magnetic fields and starch metabolism: Results from a space experiment.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9617909/,PMC9617909,36309570,10.1038/s41598-022-22691-2
Lipid rafts and plant gravisensitivity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9695138/,PMC9695138,36362962,10.3390/life12111809
Expression and characterization of the bacterial mechanosensitive channel MscS in Xenopus laevis oocytes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3503204/,PMC3503204,23112188,10.1073/pnas.1213931109
United in Diversity: Mechanosensitive Ion Channels in Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5896955/,PMC5896955,29561262,10.7554/eLife.33285
Expressing and Characterizing Mechanosensitive Channels in Xenopus Oocytes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4469364/,PMC4469364,25981775,10.1007/978-1-4939-2697-8_13
The ongoing search for the molecular basis of plant osmosensing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4411250/,PMC4411250,25870206,10.1085/jgp.201411295
Plastid osmotic stress influences cell differentiation at the plant shoot apex.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5047659/,PMC5047659,27510974,10.1242/dev.136234
Spaceflight-induced synaptic modifications within hair cells of the mammalian utricle.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5454470/,PMC5454470,28228581,10.1152/jn.00240.2016
Effects of angular frequency during clinorotation on mesenchymal stem cell morphology and migration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515506/,PMC5515506,28725712,10.1038/npjmgrav.2015.7
"The role of FGF-2 and BMP-2 in regulation of gene induction, cell proliferation and mineralization.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3044105/,PMC3044105,21306641,10.1186/1749-799X-6-8
"Nutritional supplements, COX-2 and IGF-1 expression in men on active surveillance for prostate cancer.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3002170/,PMC3002170,21103921,10.1007/s10552-010-9684-5
To Infinity and Beyond! Human spaceflight and life science.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6188462/,PMC6188462,21880668,10.1096/fj.11-0902ufm
Hyperoxia inhibits T cell activation in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11470607/,PMC11470607,39342744,10.1016/j.redox.2024.103370
"Effects of gravitational mechanical unloading in endothelial cells: association between caveolins, inflammation and adhesion molecules",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3603133/,PMC3603133,23511048,10.1038/srep01494
n-3 Polyunsaturated fatty acids supplementation in peripheral artery disease: the OMEGA-PAD trial,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6462350/,PMC6462350,30771686,10.1016/j.jss.2019.01.038
Molecular mechanisms underlying the enhanced functions of three-dimensional hepatocyte aggregates,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4012541/,PMC4012541,24332390,10.1016/j.biomaterials.2013.11.063
Spaceflight alters expression of microRNA during T-cell activation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653058/,PMC4653058,26276131,10.1096/fj.15-277392
Spaceflight impairs antigen-specific tolerance induction in vivo and increases inflammatory cytokines.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6137544/,PMC6137544,26085131,10.1096/fj.15-275073
"From cellular mechanotransduction to biologically inspired engineering: 2009 Pritzker Award Lecture, BMES Annual Meeting October 10, 2009.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2913424/,PMC2913424,20140519,10.1007/s10439-010-9946-0
Crewmember microbiome may influence microbial composition of ISS habitable surfaces,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7190111/,PMC7190111,32348348,10.1371/journal.pone.0231838
Sierra Nevada sweep: Metagenomic measurements of bioaerosols vertically distributed across the troposphere.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7382458/,PMC7382458,32709938,10.1038/s41598-020-69188-4
Draft Genome Sequences of Fungi Isolated from the International Space Station during the Microbial Tracking-2 Experiment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8444978/,PMC8444978,34528817,10.1128/MRA.00751-21
"Microbial tracking-2, a metagenomics analysis of bacteria and fungi onboard the International Space Station.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9241228/,PMC9241228,35765106,10.1186/s40168-022-01293-0
Detection of Target Genes for Drug Repurposing to Treat Skeletal Muscle Atrophy in Mice Flown in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8953707/,PMC8953707,35328027,10.3390/genes13030473
Release of CD36-associated cell-free mitochondrial DNA and RNA as a hallmark of space environment response,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166646/,PMC11166646,38862469,10.1038/s41467-023-41995-z
Increasing the number of unloading/reambulation cycles does not adversely impac body composition and lumbar bone mineral density but reduces tissue sensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3747666/,PMC3747666,23976804,10.1016/j.actaastro.2012.04.003
Bone shaft bending strength index is unaffected by exercise and unloading in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4337661/,PMC4337661,25645569,10.1111/joa.12277
Focal enhancement of the skeleton to exercise correlates to mesenchymal stem cell responsivity rather than peak external forces.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4631774/,PMC4631774,26232415,10.1242/jeb.118729
"Cytoskeletal configuration modulates mechanically induced changes in mesenchymal stem cell osteogenesis, morphology, and stiffness.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5052530/,PMC5052530,27708389,10.1038/srep34791
Genetic and tissue level muscle-bone interactions during unloading and reambulation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5114340/,PMC5114340,27609032,
Osteocyte apoptosis caused by hindlimb unloading is required to trigger osteocyte RANKL production and subsequent resorption of cortical and trabecular bone in mice femurs.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5488280/,PMC5488280,26852281,10.1002/jbmr.2807
Differential Single Cell Responses of Embryonic Stem Cells Versus Embryoid Bodies to Gravity Mechanostimulation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9293686/,PMC9293686,35570697,10.1089/scd.2022.0037
Macrophages inhibit Aspergillus fumigatus germination and neutrophil-mediated fungal killing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6091969/,PMC6091969,30071103,10.1371/journal.ppat.1007229
Contributions of spore secondary metabolites to UV-C protection and virulence vary in different Aspergillus fumigatus strains,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7029147/,PMC7029147,32071276,10.1128/mBio.03415-19
Regulation of hemocytes in Drosophila requires dappled cytochrome b5.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3092937/,PMC3092937,21279680,10.1007/s10528-010-9411-7
A novel phototropic response to red light is revealed in microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748516/,PMC5748516,27507239,10.1007/s00425-016-2581-8
Plant cell proliferation and growth are altered by microgravity conditions in spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9287483/,PMC9287483,35856037,10.1016/j.isci.2022.104687
Phototropism of Arabidopsis thaliana in microgravity and fractional gravity on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748516/,PMC5748516,27507239,10.1007/s00425-016-2581-8
Light and gravity signals synergize in modulating plant development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4211383/,PMC4211383,25389428,10.3389/fpls.2014.00563
A novel blue-light phototropic response is revealed in roots of Arabidopsis thaliana in microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748516/,PMC5748516,27507239,10.1007/s00425-016-2581-8
Comparative transcriptomics indicate changes in cell wall organization and stress response in seedlings during spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5821596/,PMC5821596,28827451,10.3732/ajb.1700079
RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6889863/,PMC6889863,31850027,10.3389/fpls.2019.01529
Comparison of Microgravity Analogs to Spaceflight in Studies of Plant Growth and Development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6908503/,PMC6908503,31867033,10.3389/fpls.2019.01577
The importance of Earth reference controls in spaceflight-omics research: Characterization of nucleolin mutants from the Seedling Growth experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7607443/,PMC7607443,33163940,10.1016/j.isci.2020.101686
Conducting plant experiments in space and on the Moon,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10764921/,PMC10764921,38172193,10.1038/s41598-023-49680-3
Red light enhances plant adaptation to spaceflight and Mars g-levels.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9605285/,PMC9605285,36294919,10.3390/life12101484
EUK-134 ameliorates nNOSµ translocation and skeletal muscle fiber atrophy during short-term mechanical unloading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3962621/,PMC3962621,24477538,10.1152/ajpregu.00371.2013
MnSOD Overexpression Reduces Fibrosis and Pro-Apoptotic Signaling in the Aging Mouse Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4462657/,PMC4462657,25016531,10.1093/gerona/glu090
Lifelong wheel running exercise and mild caloric restriction attenuate nuclear EndoG in the aging plantaris muscle.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5026643/,PMC5026643,26055450,10.1016/j.exger.2015.06.007
Age-related alterations in the sarcolemmal environment are attenuated by lifelong caloric restriction and voluntary exercise.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5026642/,PMC5026642,27534381,10.1016/j.exger.2016.08.006
"The impact of SRT2104 on skeletal muscle mitochondrial function, redox biology, and loss of muscle mass in hindlimb unloaded rats.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10342025/,PMC10342025,37446313,10.3390/ijms241311135
Bioreactor development for skeletal muscle hypertrophy and atrophy by manipulating uniaxial cyclic strain: Proof of concept.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11167039/,PMC11167039,38862543,10.1038/s41526-023-00320-0
Genomic and phenotypic characterization of Burkholderia isolates from the potable water system of the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10020673/,PMC10020673,36938359,10.1016/j.bioflm.2023.100108
CAMDLES: CFD-DEM Simulation of Microbial Communities in Spaceflight and Artificial Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9144607/,PMC9144607,35629329,10.3390/life12050660
Hardware validation of the Advanced Plant Habitat on ISS: Canopy photosynthesis in reduced gravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7314936/,PMC7314936,32625217,10.3389/fpls.2020.00673
Trimeric structure of (+)-pinoresinol-forming dirigent protein at 1.95 A resolution with three isolated active sites.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4340379/,PMC4340379,25411250,10.1074/jbc.M114.611780
Reduced Arogenate Dehydratase Expression: Ramifications for Photosynthesis and Metabolism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5933128/,PMC5933128,29523714,10.1104/pp.17.01766
New insights into lignification via network and multi-omics analyses of arogenate dehydratase knock-out mutants in Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8185232/,PMC8185232,34113365,10.3389/fpls.2021.664250
Functional consequences of radiation-induced oxidative stress in cultured neural stem cells and the brain exposed to charged particle irradiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3936501/,PMC3936501,23802883,10.1089/ars.2012.5134
Exploration of space to achieve scientific breakthroughs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11998595/,PMC11998595,40236754,10.3389/ti.2025.14565
Network Analysis of Gene Transcriptions of Arabidopsis thaliana in Spaceflight Microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7996555/,PMC7996555,33668919,10.3390/genes12030337
Detection of Genes in Arabidopsis thaliana L. Responding to DNA Damage from Radiation and Other Stressors in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8234954/,PMC8234954,34205326,10.3390/genes12060938
"The Effect of spaceflight on mouse olfactory bulb volume, neurogenesis, and cell death indicates the protective effect of novel environment.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4152162/,PMC4152162,24744382,10.1152/japplphysiol.01174.2013
"Effects of low-dose rate γ-irradiation combined with simulated microgravity on markers of oxidative stress, DNA methylation potential, and remodeling in the mouse heart",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5498037/,PMC5498037,28678877,10.1371/journal.pone.0180594
